|            JD |          Tempo |              BC |            432s |             430 |             423 |            405 |
| 2451708.96907 |  24213.0875123 |   24213.0874883 |   24213.0873618 |   24213.0873652 |   24213.0873599 |  24213.0874203 |
| 2451709.88971 |  24526.5184526 |   24526.5185126 |    24526.518275 |   24526.5182784 |   24526.5182728 |  24526.5183337 |
| 2451710.81035 |  24763.2215065 |   24763.2214016 |   24763.2213335 |   24763.2213368 |   24763.2213309 |  24763.2213922 |
| 2451711.73099 |   24906.934552 |    24906.934564 |   24906.9344002 |   24906.9344034 |   24906.9343973 |  24906.9344589 |
| 2451712.65163 |  24961.3778307 |   24961.3777258 |   24961.3777055 |   24961.3777086 |   24961.3777021 |  24961.3777643 |
| 2451713.57227 |  24949.4044347 |   24949.4045127 |   24949.4043272 |   24949.4043302 |   24949.4043236 |  24949.4043861 |
| 2451714.49291 |  24907.7748883 |   24907.7751551 |   24907.7748156 |   24907.7748186 |   24907.7748116 |  24907.7748747 |
| 2451715.41355 |  24878.7505894 |    24878.751069 |   24878.7505278 |   24878.7505308 |   24878.7505235 |  24878.7505872 |
| 2451716.33419 |  24900.4273588 |   24900.4280634 |   24900.4273065 |   24900.4273094 |   24900.4273018 |  24900.4273661 |
| 2451717.25483 |  24998.0193613 |     24998.01982 |   24998.0193052 |   24998.0193081 |   24998.0193002 |  24998.0193651 |
| 2451718.17547 |  25178.0851593 |   25178.0858639 |   25178.0850873 |     25178.08509 |   25178.0850818 |  25178.0851475 |
| 2451719.09611 |  25427.0157163 |   25427.0162889 |   25427.0156171 |   25427.0156197 |   25427.0156112 |  25427.0156775 |
| 2451720.01676 |  25714.1295345 |   25714.1296725 |   25714.1294069 |   25714.1294095 |   25714.1294006 |  25714.1294677 |
|  2451720.9374 |  25998.6670054 |   25998.6672212 |   25998.6668452 |   25998.6668478 |   25998.6668386 |  25998.6669063 |
| 2451721.85804 |  26239.0846947 |   26239.0846257 |   26239.0845207 |   26239.0845231 |   26239.0845137 |  26239.0845822 |
| 2451722.77868 |  26402.5252411 |   26402.5256518 |   26402.5250648 |   26402.5250671 |   26402.5250575 |  26402.5251267 |
| 2451723.69932 |  26472.2989888 |   26472.2991177 |   26472.2988265 |   26472.2988287 |   26472.2988187 |  26472.2988887 |
| 2451724.61996 |  26451.6695232 |   26451.6695862 |   26451.6693838 |    26451.669386 |   26451.6693757 |  26451.6694464 |
|  2451725.5406 |  26363.0810048 |   26363.0815354 |   26363.0808814 |   26363.0808835 |    26363.080873 |  26363.0809443 |
| 2451726.46124 |  26243.0071312 |   26243.0072871 |   26243.0070225 |   26243.0070245 |   26243.0070137 |  26243.0070855 |
| 2451727.38188 |  26133.6004908 |   26133.6006288 |   26133.6004134 |   26133.6004154 |   26133.6004043 |  26133.6004766 |
| 2451728.30252 |  26073.0494954 |   26073.0500351 |   26073.0494359 |   26073.0494377 |   26073.0494263 |  26073.0494991 |
| 2451729.22316 |  26086.8438518 |   26086.8443345 |   26086.8437881 |   26086.8437898 |   26086.8437782 |  26086.8438513 |
|  2451730.1438 |  26181.9432928 |   26181.9442941 |   26181.9432101 |   26181.9432118 |      26181.9432 |  26181.9432733 |
| 2451731.06444 |  26345.1839077 |   26345.1843274 |   26345.1838005 |   26345.1838021 |   26345.1837901 |  26345.1838634 |
| 2451731.98509 |   26546.289848 |   26546.2898749 |   26546.2897117 |   26546.2897133 |    26546.289701 |  26546.2897745 |
| 2451732.90573 |  26744.8044482 |   26744.8044631 |   26744.8042876 |    26744.804289 |   26744.8042765 |    26744.80435 |
