|            JD |           Tempo |              BC |            432s |             430 |             423 |             405 |
| 2451665.69895 |   10348.2645425 |   10348.2643488 |   10348.2643627 |   10348.2643683 |    10348.264377 |   10348.2643954 |
| 2451666.61959 |   10551.5452432 |   10551.5448772 |   10551.5448613 |   10551.5448669 |   10551.5448754 |   10551.5448951 |
| 2451667.54023 |   10772.6106009 |   10772.6101716 |   10772.6101424 |   10772.6101479 |   10772.6101561 |   10772.6101772 |
| 2451668.46087 |   11048.8425225 |   11048.8419699 |   11048.8419326 |   11048.8419381 |   11048.8419459 |   11048.8419683 |
| 2451669.38151 |   11404.3104602 |   11404.3101166 |   11404.3101022 |   11404.3101077 |   11404.3101153 |   11404.3101391 |
| 2451670.30215 |   11844.2322386 |   11844.2318056 |   11844.2317998 |   11844.2318052 |   11844.2318125 |   11844.2318375 |
|  2451671.2228 |   12353.7441059 |   12353.7437459 |   12353.7437347 |     12353.74374 |   12353.7437471 |   12353.7437733 |
| 2451672.14344 |   12901.2676453 |   12901.2673165 |   12901.2672938 |   12901.2672992 |   12901.2673059 |   12901.2673334 |
| 2451673.06408 |   13445.6964061 |   13445.6963502 |    13445.696317 |   13445.6963223 |   13445.6963287 |   13445.6963573 |
| 2451673.98472 |   13945.7651347 |   13945.7649753 |   13945.7649381 |   13945.7649434 |   13945.7649495 |   13945.7649791 |
| 2451674.90536 |   14369.4557898 |    14369.455938 |    14369.455906 |   14369.4559112 |   14369.4559172 |   14369.4559477 |
|   2451675.826 |   14701.3008342 |   14701.3007634 |   14701.3007468 |   14701.3007519 |   14701.3007576 |    14701.300789 |
| 2451676.74664 |   14945.9038661 |   14945.9039646 |   14945.9039686 |   14945.9039738 |   14945.9039791 |   14945.9040115 |
| 2451677.66728 |   15126.8855331 |   15126.8851841 |   15126.8851926 |   15126.8851978 |   15126.8852029 |   15126.8852359 |
| 2451678.58792 |   15281.4797077 |   15281.4794964 |   15281.4794775 |   15281.4794827 |   15281.4794874 |   15281.4795211 |
| 2451679.50856 |   15452.0285672 |   15452.0282519 |   15452.0282243 |   15452.0282294 |   15452.0282338 |   15452.0282683 |
|  2451680.4292 |   15676.3041595 |   15676.3038079 |   15676.3037729 |   15676.3037779 |   15676.3037822 |   15676.3038173 |
